judul,berita
,
,
,
,
,
,
,
,
,
"Selama PSBB, Penjualan Pertamina Anjlok hingga 50 Persen"," Direktur Utama PT Pertamina (Persero) Nicke Widyawati mengatakan,  , Pertamina mengalami penurunan selama masa Pembatasan Sosial Berskala Besar (PSBB) di beberapa kota besar di Indonesia.,“Untuk daerah-daerah atau kota besar yang mengalami PSBB ini mencapai hampir 50 persen. Jadi untuk DKI kemudian Bandung, Surabaya, Makassar, Medan ini menurunnya luar biasa,” ujar Nicke saat rapat dengar pendapat dengan Komisi VI DPR RI, Senin (29/6/2020).,Nicke menambahkan, untuk skala nasional, dampak pandemi Covid-19 terhadap  , mencapai 25 persen. Angka ini bisa saja meningkat jika pandemi masih melanda Indonesia.,“Secara nasional adalah sekitar 25 persen dan kami perkirakan sampai dengan akhir tahun ini juga 25-26 persen prognosanya,” kata Nicke.,Tak hanya di hilir, lanjut Nicke, pandemi Covid-19 ini juga mempengaruhi penjualan di hulu Pertamina. ,“Jadi ini dua-duanya (hulu dan hilir) sekarang kena, sehingga baik itu , maupun , ini terkena dampaknya dalam situasi saat ini. Demikian juga penurunan arus kas,” ucap dia.,Untuk menutupi penurunan pendapatan tersebut, Nicke berharap pemerintah segera membayar biaya kompensasi ke pihaknya sebesar Rp 45 triliun.,“Nah di point inilah kami sangat terbantu dengan adanya pencairan dari piutang pemerintah ini. Ketika kemudian arus kas dari operasi ini di bulan maret dan April kita sangat suffer, jadi ini terbantu ya mudah-mudahan segera juga pencairan nya dilakukan,” ujarnya."
,
"Sepanjang 2019, Jumlah Investor Pasar Modal Indonesia Tembus 2,48 Juta"," - PT Bursa Efek Indonesia ( ,) mencatat jumlah investor pada tahun 2019 di Pasar Modal Indonesia sebanyak 2,48 juta. Jumlah ini mengalami pertumbuhan 53 persen dibandingkan tahun 2018 sebanyak 1,6 juta investor.,Mengutip keterangan resmi, Selasa (30/6/2020), total investor saham tercatat mencapai 1,10 juta investor atau naik 30 persen dibandingkan pada tahun 2018 dengan jumlah 852.000 investor.,Sementara itu, sampai dengan Mei 2020, jumlah investor pasar modal Indonesia mencapai 2,81 juta, dan investor saham mencapai angka 1,19 juta.,Dalam Rapat Umum Pemegang Saham Tahunan (RUPST) Selasa (30/6/2020), BEI juga mencatat pertumbuhan pendapatan usaha sebesar 12,4 persen atau Rp 1,56 triliun, meningkat dibanding tahun 2018 sebesar Rp 1,38 triliun.,Secara keseluruhan jumlah total pendapatan perusahaan sebesar Rp 1,91 triliun atau meningkat 16,2 persen dibanding tahun 2018 sebesar Rp 1,64 triliun.,Adapun jumlah beban di tahun 2019 sebesar Rp 1,33 triliun atau meningkat 5,3 persen dari tahun 2018. Meski terdapat kenaikan beban, Perusahaan tetap berhasil mencatatkan laba bersih tahun berjalan sebesar Rp 445 miliar di tahun 2019 atau tumbuh 67,4 persen.,Sementara itu, total aset BEI tahun 2019 sebesar Rp 7,2 triliun atau naik 5,8 persen dibanding tahun 2018.,BEI juga mencatat total ekuitas Perusahaan mengalami kenaikan 14,6 persen atau Rp 4,45 triliun dibandingkan tahun 2018. Namun demikian, total kewajiban Perusahaan (liabilitas) turun sebesar 5,8 persen atau Rp 2,75 triliun dengan komponen utama penurunan berasal dari liabilitas penyelesaian  ,.,Sepanjang tahun 2019, BEI mencatat rata-rata transaksi harian mencapai 469 ribu transaksi per hari, atau lebih unggul dari Thailand yakni 308 ribu transaksi per hari.,BEI juga berhasil memfasilitasi 76 pencatatan efek baru yang terdiri dari 55 Perusahaan Tercatat, dan merupakan angka pencatatan tertinggi di ASEAN. BEI juga mencatatkan 14 Exchange Traded Fund (ETF), 2 Efek Beragun Aset (EBA), 2 Perusahaan Penerbit Obligasi Baru, 2 Dana Investasi Real Estat (DIRE) dan 1 Dana Investasi Infrastruktur (DINFRA).,“Sepanjang tahun 2019 BEI menjamin terselenggaranya aktivitas perdagangan dengan lancar dan meningkatkan berbagai pencapaian, mulai dari peningkatan jumlah dan partisipasi investor, kuantitas dan kualitas perusahaan tercatat, frekuensi perdagangan tertinggi, serta peningkatan kapasitas anggota bursa,” kata Sekretaris Perusahaan PT Bursa Efek Indonesia Yulianto Aji Sadono."
,
,
,
,
,
,
"Di Tengah Pandemi, Amazon Gelontorkan Rp 7,1 Triliun untuk Bonus Karyawan"," - E-commerce asal AS,  , Inc bakal menggelontorkan lebih dari 500 juta  , atau Rp 7,1 triliun (kurs Rp 14.200) untuk  , karyawannya dan beberapa kontraktor karena telah bekerja di masa pandemi. , Wakil Presiden Senior Operasi Seluruh Dunia Amazon, Dave Clark mengatakan, perseroan akan memberikan bonus satu kali untuk semua pekerja di garis terdepan dan mitra perusahaan yang telah bekerja sepanjang bulan Juni 2020.,Adapun rinciannya,  , penuh waktu (full-time) Amazon, yang bekerja di bisnis Whole Foods Market dan pengemudi bakal menerima 500 dollar AS atau setara dengan Rp 7,1 juta., Sedangkan karyawan yang bekerja paruh waktu akan menerima setengahnya, yakni 250 dollar AS atau Rp 3,55 juta. , ""Kelompok , lain akan mendapatkan 150 dollar AS, para pemimpin di Amazon dan Whole Foods akan menerima bonus 1.000 dollar AS, dan pemilik yang menjalankan operasi layanan pengiriman yang dikontrak (oleh Amazon) akan mendapatkan 3.000 dollar AS,"" sebut Clark dikutip dari ,, Selasa (30/6/2020)., Sebelumnya pada Maret 2020, Amazon di Seattle, AS, sempat mengatakan akan meningkatkan bayaran pekerja sebesar 2 dollar AS per jam untuk setiap pekerja di garis terdepan. Amazon juga bakal menambah ribuan karyawan baru., Sementara pada April, Amazon memperkirakan bakal menggelontorkan sekitar 4 miliar dollar AS untuk biaya-biaya yang berkaitan dengan Covid-19, termasuk untuk tes karyawan dan kenaikan upah. Perseroan menawarkan kenaikan upah per jam hingga akhir bulan lalu. , Kemudian pada 30 Mei, menurut juru bicara, Amazon telah membayar hampir 800 juta dollar AS berupa pembayaran gaji yang lebih tinggi., Sebagai informasi, penjualan di Amazon telah meningkat selama pandemi, karena pola belanja konsumen beralih ke e-commerce setelah toko-toko ritel terpaksa menutup tokonya akibat pandemi.,Meski ada beberapa toko yang buka, jam belanja lebih terbatas untuk mematuhi protokol kesehatan. , Beberapa karyawan Amazon sempat melancarkan protes di lokasi kerja atas kondisi kerja dan fasilitas di Amazon."
,
,
,
"Produksi Pesawat Menciut 40 Persen, Airbus Bakal PHK 20.000 Karyawan?"," Raksasa pabrikan  ,  , mengonfirmasi rencana penurunan  , sebesar 40 persen dalam dua tahun ke depan.,Airbus pun tengah memfinalkan rencana restrukturisasi perusahaan, termasuk pemangkasan ribuan pegawai.,Dilansir dari ,, Selasa (30/6/2020), pabrikan pesawat terbesar di Eropa tersebut dikabarkan bakal mengumumkan rencana reorganisasi terbesarnya pada Rabu (1/7/2020) esok.,Seorang sumber menyebut, Airbus harus bergerak secara ramping untuk menangkis dampak negatif akibat merosotnya bisnis pesawat , sebesar 40 persen akibat pandemi virus corona.,Dikabarkan, Airbus akan mengumumkan pemangkasan jumlah pegawai pada akhir Juli 2020. Namun, Airbus harus memberikan arahan terlebih dulu kepada serikat pekerja dan pemerintah terkait perubahan besar tersebut sebelum periode tenang selama dua pekan menjelang laporan kinerja keuangan pada 30 Juli 2020.,CEO Airbus Guillaume Faury mengonfirmasi kepada media Jerman bahwa Airbus berencana menurunkan produksi pesawat jetliner sebesar 40 persen dalam dua tahun.,""Untuk dua tahun ke depan, 2020 dan 2021, kami mengasumsikan bahwa produksi dan pengiriman akan lebih rendah 40 persen dari yang awalnya kami rencanakan,"" ujar Faury kepada surat kabar Die Welt.,Menurut Faury, produksi akan kembali normal pada tahun 2025 mendatang.,Terkait pemutusan hubungan kerja alias  ,, sumber menyebut sekira ada pemangkasan 14.000 hingga 20.000 pegawai berdasarkan target 40 persen tersebut.,Angka itu merupakan jumlah pegawai yang dibutuhkan untuk memproduksi beragam jenis pesawat jetliner., ,Adapun sumber lain mengatakan, kemungkinan jumlah pegawai yang terdampak  , di bawah 25.000 orang.,Divisi helikopter dan pertahanan disebut bakal terdampak PHK karyawan.,""Ini adalah fakta yang brutal, namun kami harus melakukannya. Ini tentang penyesuaian yang dibutuhkan untuk menghadapi penurunan produksi yang masif. Ini tentang mengamankan masa depan kami,"" ungkap Faury."
,
,
,
,
,
,
"Lippo Karawaci Raup Pendapatan Rp 3,10 Triliun pada Kuartal I 2020"," PT  , Tbk (LPKR) melaporkan peningkatan total pendapatan sebesar 8,5 persen secara tahunan (,/yoy) pada kuartal I  2020 menjadi Rp 3,10 triliun.,Adapun pada periode yang sama tahun lalu, pendapatan perseroan mencapai Rp 2,86 triliun. , Melalui siaran media, Head of Corporate Communication LPKR Danang Kemayan Jati mengatakan, pendapatan LPKR tersebut ditopang oleh bisnis  , Development yang tumbuh 12,3 persen menjadi Rp 678 miliar.,Ini bersumber dari pendapatan dari Orange County yang dalam tahap penyelesaian. , “Penjualan lahan komersial, rumah toko, serta penjualan  , meningkatkan pendapatan LPCK sebesar 44 persen menjadi Rp 574 miliar dibanding periode sebelumnya Rp 399 miliar,” kata Danang melalui siaran media, Selasa (30/6/2020)., Di samping itu, kontribusi terbesar terhadap pendapatan, dari segmen bisnis Healthcare, dengan peningkatan pendapatan sebesar 9,7 persen pada kuartal I  2020 menjadi Rp 1,88 triliun, dibandingkan periode sebelumnya Rp 1,71 triliun.,Pada kuartal I 2020 juga terjadi peningkatan pra penjualan sebesar 13 persen menjadi Rp 703 miliar dibanding periode sama tahun lalu, yaitu Rp 623 miliar., , LPKR juga mencatatkan laba bruto yang meningkat 7 persen pada kuartal I 2020 menjadi Rp 1,33 triliun dibandingkan dengan periode sama tahun lalu Rp 1,24 triliun., Sementara itu, laba bruto Real Estate Development meningkat 10,4 persen pada kuartal I 2020 menjadi Rp 337 miliar dibanding periode sama tahun lalu, yakni Rp 305 miliar., Laba bruto bisnis Real Estate Management & Services juga tumbuh 5,6 persen menjadi Rp 958 miliar pada kuartal I 2020 dibandingkan periode sebelumnya, yakni Rp 907 miliar., LPKR juga mencatat pertumbuhan EBITDA konsolidasian sebesar 50,4 persen pada kuartal I 2020 menjadi Rp 705 miliar, dibanding periode sebelumnya, yakni Rp 469 miliar., , Real Estate Development memimpin pertumbuhan EBITDA, dengan peningkatan 108 persen pada kuartal I 2020 menjadi Rp 148 miliar dibanding periode sebelumnya, yakni Rp 71 miliar., Siloam Hospital juga membukukan pertumbuhan EBITDA sebesar 31,3 persen pada kuartal I 2020 menjadi Rp 304 miliar dibandingkan periode sebelumnya, yakni Rp 231 miliar., Secara keseluruhan Marjin EBITDA membaik menjadi 23 persen pada kuartal I 2020.,Namun, sesuai dengan kebijakan akuntansi ,, LPKR mengalami rugi selisih kurs sebesar Rp 2,39 triliun di Lippo Karawaci pada kuartal I 2020, karena rupiah terdepresiasi terhadap dollar AS. , “LPKR melaporkan rugi bersih konsolidasian kuartal I 2020 sebesar Rp 2,12 triliun, dibandingkan dengan laba bersih sebesar Rp 50 miliar pada periode sama tahun lalu. Melihat perkembangan nilai tukar saat ini, kami perkirakan akan adanya penyesuaian selisih kurs yang menguntungkan di kuartal II tahun 2020 sesuai dengan kebijakan akuntansi mark to market,” jelas Danang."
,
,
"Ada Pandemi Covid-19, Produksi Batu Bara Diproyeksi Masih Capai Target"," Kementerian Energi dan Sumber Daya Mineral ( ,) optimis produksi  , masih mencapai target tahun 2020, yakni sebesar 550 juta ton.,Pasalnya, produksi sampai dengan Mei sudah hampir mencapai separuh target tersebut., Direktur Pembinaan Pengusahaan  , Direktorat Jenderal Minerba Kementerian ESDM Sujatmiko mengatakan,  , sampai dengan Mei kemarin mencapai 228 juta ton, atau setara 42 persen target tahun 2020., , Dengan masih menyisakan 6 bulan lagi, Sujatmiko optimis produksi batu bara masih akan sesuai target, meski pandemi Covid-19 masih membayangi., ""Kalau kita bandingkan 7 bulan ke depan target produksi bisa tercapai, regardless kondisi Covid dan sebaginya,"" ujarnya dalam sebuah diskusi virtual, Selasa (30/7/2020)., Kendati demikian, realisasi penggunaan batu bara untuk keperluan dalam negeri atau domestic market obigation (DMO) sampai dengan Mei lalu masih rendah., Tercatat, sampai dengan Mei 2020 lalu realisasi DMO batu sebesar 44 juta ton, atau baru mencapai 28 persen dari target 155 juta ton., , Sujatmiko menjelaskan, hal tersebut diakibatkan anjloknya  , industri pada saat aturan pembatasan sosial berskala besar (PSBB). Padahal, industri ketenagalistrikan menjadi pengguna terbesar batu bara dalam negeri., ""Sampai Mei ini kondisinya karena pandemi , banyak industri yang enggak jalan sebagaimana adanya, termasuk kantor, mal dan sebagainya. Maka, permintaan listrik memang turun. Akibatnya pemakaian batu bara untuk pemenuhan kebutuhan listrik DMO turun,"" tutur Sujatmiko., Meskipun begitu, Sujatmiko optimis DMO batu bara akan terus meningkat dalam jangka waktu panjang, seiring dengan dikembangkannya teknologi energi ramah lingkungan atau green energy., ""DMO ini kami yakin ke depan makin meningkat, karena memang listrik akan berkembang,"" ucapnya."
,
BFI Finance Bakal Bagi Dividen Rp 180 Miliar ," - PT  , Indonesia Tbk (BFI Finance) akan membagikan  , sebanyak Rp 180 miliar atau sebesar Rp 12 per lembar saham pada 9 Juli 2020 kepada para pemegang saham yang tercatat dalam Daftar Pemegang Saham Perseroan. Sementara pembayaran akan dilakukan 29 Juli 2020., Pengumuman rencana pembagian dividen ini disampaikan Perseroan pada acara Rapat Umum Pemegang Saham Tahunan dan Luar Biasa (RUPSTLB), Senin (20/6/2020) melalui vitual dengan prokotol kesehatan yang ketat. , “Kami mengakui 2019 lalu adalah tahun yang tidak mudah bagi industri pembiayaan yang juga berdampak pada kinerja bisnis BFI Finance. Namun, Perusahaan berhasil melewati rintangan dengan performa bisnis yang apik dan tetap membagikan dividen sebagai bentuk nyata komitmen kami atas dukungan para investor selama ini,” kata Finance Director & Corporate Secretary BFI Finance, Sudjono., Jumlah dividen yang nantinya akan dibagikan adalah 25 persen dari laba bersih tahun buku 2019 yakni sebesar Rp 712 miliar. Sisa laba bersih tahun buku 2019 tersebut juga akan disisihkan untuk cadangan sebesar Rp 5 miliar, untuk memperkuat permodalan perusahaan. , Selain pembagian dividen, agenda RUPSTLB juga mengagendakan pengesahan Laporan Keuangan Perusahaan 2019 yang telah diaudit oleh Kantor Akuntan Publik “Tanubrata Sutanto Fahmi Bambang & Rekan” dengan opini audit “Wajar Tanpa Modifikasian”, dan mengesahkan laporan tugas pengawasan Dewan Komisaris Perusahaan., Perseroan berhasil menutup tahun buku 2019 dengan pertumbuhan total pendapatan sebesar Rp 5,2 triliun atau naik 4,4 persen dibandingkan pada tahun 2018. Perusahaan juga mempertahankan Non-Performing Financing (NPF) di angka 0,85 persen. Sementara itu, total pembiayaan baru pada kuartal pertama tahun 2020 adalah sebesar Rp 4 triliun, atau naik 20,7 persen year-on-year (yoy)., Terkait dengan kondisi pandemic Covid-19, perusahaan memutuskan untuk memperketat penyaluran pembiayaan konsumen baru sebagai antisipasi pembiayaan bermasalah akibat pandemi. , “Sepanjang pandemi masih berlangsung, kami belum ada target pertumbuhan. Perusahaan akan meninjau kembali setelah kondisi membaik, meski sekarang masyarakat berangsur-angsur sudah menjalani aktivitas new normal,” ungkap Sudjono. , , Menjelang akhir bulan Juni 2020, BFI Finance memberikan relaksasi kredit kepada 54.000 nasabah atau 9,4 persen dari kontrak aktif secara nasional. Relaksasi kredit ini diperkiraan bernilai sekitar Rp 3,6 triliun atau 20 persen dari total pokok pinjaman konsumen di BFI Finance (total ENR)., "
,
,
,
,
,
,
"Jual 20 Persen Sahamnya, Perusahaan Kosmetik Kim Kardashian Kini Bernilai Rp 14,2 Triliun"," - Sosialita sekaligus bintang reality show Amerika Serikat Kim  , West telah menjual 20 persen saham perusahaan kosmetiknya,  ,, senilai 200 juta dollar AS atau sekitar Rp 2,84 triliun (kurs Rp 14.200 per dollar AS) kepada raksasa kecantikan asal Perancis, Coty., Kardashian menyatakan, dengan kerja sama tersebut diharapkan dapat mencapai tujuannya untuk meningkatkan market global. , Dikutip dari , Selasa (30/6/2020)  , tersebut mengungkapkan  , KKW sebesar 1 miliar dollar AS atau sekitar Rp 14,2 triliun, sedikit lebih rendah dari valuasi perusahaan sesama sosialita Kylie Jenner, Kylie Cosmetics yang juga sahamnya dibeli oleh Coty Januari lalu.,Di dalam kesepakatan tersebut dikatakan, Kardashian bakal tetap memegang kendali atas proses kreatif dari perusahaan, sekaligus meningkatkan , dengan pengikutnya di sosial media yang mencapai 300 juta orang., ""Hubungan ini akan membuat saya lebih fokus pada elemen-elemen kreatif yang saya sukai sekaligus mendapatkan keuntungan dari sumber daya Coty,"" ujar Kardashian.,  , yang diperkirakan akan rampung pada kuartal ketiga 2021 merupakan perkembangan terbaru dari bulan yang sibuk bagi Coty.,Sebelumnya pada awal Juni, Coty memutuskan untuk memecat CEO mereka Pierre Laubies dan memutuskan untuk menggantinya dengan Peter Harf. Penggantian CEO tersebut terjadi untuk keempat kalinya dalam empat tahun terakhir."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
 Alfamart Bikin Coworking Space di Lingkungan Kampus," Baru-baru ini netizen khususnya anak muda dihebohkan dengan munculnya ruang kerja bersama atau , yang dimiliki oleh PT Sumber Alfaria Trijaya Tbk atau  ,., Penampakan coworking space yang beri nama  , ini diunggah pertama kali melalui akun Imstagram resminya, yaitu @alfaxid.,Banyak netizen yang memberi komentar atas penampakan coworking space yang terlihat rapi dan elegan, sehingga banyak dari mereka yang meminta coworking space ini dibuka lebih banyak lagi di berbagai cabang., Ternyata, coworking space ini sudah dibuka sejak akhir bulan Januari 2020 lalu., ""Sekarang sudah ada 3 Alfa X. Lokasinya berada di daerah kampus  , Tarumangera, Universitas Indonesia dan Universitas Esa Unggul,"" ujar Corporate Communication General Manager AMRT Nur Rachman saat dihubungi Kompas.com, Senin (29/6/2020)., Nur Rachman pun mengakui sejak coworking space ini dibuka, sambutan dari mahasiswa cukup baik. Hal itu terlihat dari banyaknya para mahasiswa yang datang berkunjung ke coworking space tersebut untuk mengerjakan tugas., ""Banyak dari mereka yang memanfaatkan tempat ini untuk mengerjakan tugas kelompok, karena memang ruangannya nyaman serta fasilitas lengkap. Ada juga yang datang untuk sekadar bersosialisasi,"" jelasnya., Rachman juga berharap ke depannya Alfa X ini bisa hadir di lebih banyak daerah khususnya di lingkungan kampus., ""Karena formatnya Co-working Space, dengan hadirnya Alfa X bisa memberikan kesempatan bagi mahasiswa untuk saling berkolaborasi. Selain bagi mahasiswa, masyarakat juga bisa memanfaatkan tempat ini untuk berkumpul,"" harapnya."
,
,
,
,
,
,
"Sri Mulyani: Serapan Anggaran Kesehatan dalam PEN Sudah 4,68 Persen"," Menteri Keuangan  , Indrawati menyatakan, penyaluran insentif kesehatan yang terdapat dalam program Pemulihan Ekonomi Nasional (PEN) telah mencapai 4,68 persen dari Rp 87,55 triliun. , Hal itu dia sampaikan dalam Rapat Kerja bersama Komisi XI DPR RI di Jakarta, Senin (29/6/2020)., ""Saya , mengenai PEN, (realisasi) untuk kesehatan telah mencapai 4,68 persen,"" kata bendahara negara itu di hadapan Dito Ganinduto, pemimpin rapat dari Fraksi Golkar. , , Selanjutnya, realisasi perlindungan sosial (social safety net) seperti bansos telah mencapai 34,06 persen, Pemerintah daerah 4 persen, insentif usaha 10,14 persen, serta Usaha Mikro Kecil dan Menengah (UMKM) sebesar 22,74 persen. , ""UMKM 22,74 persen tapi ini karena sudah ada penempatan dana ke Himbara seperti yang sudah disampaikan. Sedangkan untuk  , korporasi belum ada terealisasi,"" papar Sri Mulyani., Seperti diketahui, pemerintah telah menyiapkan anggaran untuk program PEN sebesar Rp 695,2 triliun, meningkat dari rencana sebelumnya sebesar Rp 677 triliun., Dari jumlah Rp 695,2 triliun tersebut rinciannya, sebesar Rp 87,55 triliiun untuk  ,, anggaran perlindungan sosial Rp 203,9 triliun dan insentif usaha sebesar Rp 120,61 triliun.,Kemudian, sebesar Rp 123,46 triliun disiapkan untuk sektor UMKM, pembiayaan korporasi menjadi Rp 53,57 triliun, dan untuk dukungan sektoral K/L dan Pemda sebesar Rp 106,11 triliun., Sebelumnya diberitakan, Presiden RI Joko Widodo sempat jengkel lantaran rendahnya penyerapan anggaran kesehatan yang telah dialokasikan. Hal itu terungkap melalui video yang tayang di akun YouTube Sekretariat Presiden, Minggu (28/6/2020)., Kepala Negara mengaku jengkel dengan sejumlah menterinya yang menurutnya masih menganggap situasi pandemi saat ini bukan sebuah krisis. , ""Misalnya saya beri contoh. Bidang kesehatan, dianggarkan Rp 75 triliun. Baru keluar 1,53 persen coba. Uang beredar di masyarakat ke-rem ke situ semua. Segera itu dikeluarkan dengan penggunaan yang tepat sasaran. Sehingga men-trigger ekonomi,"" kata Jokowi., , ""Pembayaran tunjangan untuk dokter, dokter spesialias, untuk tenaga medis, segera keluarkan. Belanja untuk peralatan segera keluarkan. Ini sudah disediakan Rp 75 triliun seperti itu,"" lanjut Presiden."
,
,
